                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                     64,                0.38518,                 1.2483,                 1.1214,              0.0075202,              0.0075202,              0.0075202,                0.88941,                  0.675,                0.68584,                0.19476,                0.52402,                 1.4138,                  1.286
                     65,                0.40353,                 1.2765,                 1.1577,              0.0074803,              0.0074803,              0.0074803,                 0.7983,                0.64319,                0.72935,                 0.2662,                0.43858,                 1.3055,                 1.1337
                     66,                0.38609,                 1.2463,                 1.1248,              0.0074403,              0.0074403,              0.0074403,                0.84399,                 0.6875,                0.72475,                0.26361,                0.47005,                 1.3218,                 1.1908
                     67,                0.39101,                 1.2179,                 1.1541,              0.0074003,              0.0074003,              0.0074003,                0.91784,                 0.6125,                0.69475,                0.24975,                0.45825,                 1.4618,                 1.1695
                     68,                0.38939,                 1.1818,                 1.1547,              0.0073603,              0.0073603,              0.0073603,                 0.8466,                0.68988,                0.74938,                0.27348,                0.46747,                 1.2738,                 1.1708
                     69,                0.38947,                 1.2254,                 1.1549,              0.0073203,              0.0073203,              0.0073203,                0.89801,                 0.6625,                0.76578,                 0.2543,                0.47362,                 1.3075,                 1.1723
                     70,                0.39312,                 1.2556,                 1.1725,              0.0072803,              0.0072803,              0.0072803,                0.74014,                0.67647,                0.67708,                0.24499,                0.48666,                   1.39,                 1.2375
                     71,                0.37768,                 1.1934,                 1.1323,              0.0072403,              0.0072403,              0.0072403,                0.92918,                 0.5875,                0.75207,                0.25615,                0.47538,                 1.3223,                 1.1712
                     72,                0.39294,                 1.2105,                 1.1565,              0.0072003,              0.0072003,              0.0072003,                0.78816,                 0.5625,                0.57096,                0.18422,                0.53205,                 1.5348,                 1.3335
                     73,                0.37704,                 1.1619,                 1.1221,              0.0071603,              0.0071603,              0.0071603,                0.77269,                0.63736,                0.71085,                0.23304,                0.49437,                 1.3182,                  1.231
                     74,                0.37771,                 1.2068,                 1.1305,              0.0071203,              0.0071203,              0.0071203,                0.85265,                 0.7125,                0.81916,                0.31486,                0.44095,                 1.1161,                 1.1223
                     75,                0.38488,                  1.173,                 1.1297,              0.0070803,              0.0070803,              0.0070803,                0.75978,                 0.6625,                0.67926,                0.24095,                0.46036,                 1.2638,                 1.1642
                     76,                0.38185,                  1.199,                 1.1228,              0.0070403,              0.0070403,              0.0070403,                0.88855,                   0.65,                0.76914,                0.26889,                0.45474,                 1.1892,                  1.172
