                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
111,4.0235,1.2514,1.155,0.0071106,0.0071106,0.0071106,0.77984,0.55814,0.59198,0.24661,6.2266,1.6611,1.2076
112,3.8993,1.2475,1.1203,0.0070633,0.0070633,0.0070633,0.87445,0.64801,0.6974,0.26888,6.7447,1.5283,1.285
113,4.1939,1.3095,1.1755,0.0070159,0.0070159,0.0070159,0.76562,0.60782,0.62539,0.21963,6.7318,1.5115,1.2846
114,4.2279,1.3519,1.1795,0.0069682,0.0069682,0.0069682,0.859,0.5669,0.59105,0.26721,6.1256,1.5259,1.2476
115,4.18,1.2139,1.1575,0.0069203,0.0069203,0.0069203,0.76308,0.52452,0.59718,0.2271,6.536,1.6477,1.2714
116,4.0065,1.2229,1.1362,0.0068722,0.0068722,0.0068722,0.76873,0.67442,0.68766,0.23535,6.4891,1.5009,1.2947
117,4.1287,1.2691,1.176,0.0068239,0.0068239,0.0068239,0.86261,0.67442,0.73753,0.27604,5.8964,1.3748,1.2016
118,3.7742,1.2571,1.1491,0.0067754,0.0067754,0.0067754,0.77509,0.60465,0.60394,0.19538,6.4349,1.3951,1.3297
119,4.0142,1.2239,1.1332,0.0067268,0.0067268,0.0067268,0.9097,0.5814,0.66527,0.21076,6.5974,1.5627,1.3041
120,4.0336,1.2817,1.1471,0.0066779,0.0066779,0.0066779,0.95992,0.55697,0.6329,0.25108,6.0829,1.5886,1.2323
121,3.9578,1.2982,1.1429,0.0066288,0.0066288,0.0066288,0.89253,0.5814,0.72765,0.28947,5.6828,1.4006,1.2335
122,4.0081,1.2816,1.153,0.0065796,0.0065796,0.0065796,0.73918,0.46147,0.49609,0.15279,8.0125,1.8752,1.5108
123,4.1748,1.1979,1.1724,0.0065303,0.0065303,0.0065303,0.72325,0.39535,0.46347,0.19562,7.2411,1.7729,1.3818
124,3.9682,1.3389,1.1279,0.0064807,0.0064807,0.0064807,0.82763,0.65116,0.69547,0.25055,6.4313,1.6655,1.296
125,4.0158,1.1761,1.0989,0.006431,0.006431,0.006431,0.81095,0.53488,0.56381,0.20922,6.9415,1.751,1.3674
126,3.9455,1.2209,1.1533,0.0063812,0.0063812,0.0063812,0.60928,0.46512,0.49592,0.20469,7.1257,1.8656,1.3686
127,3.8432,1.2407,1.1429,0.0063312,0.0063312,0.0063312,0.68986,0.62087,0.61516,0.24413,6.8738,1.6216,1.3627
128,3.7256,1.3553,1.1045,0.006281,0.006281,0.006281,0.86499,0.60465,0.68303,0.26053,6.0105,1.6679,1.2444
129,3.7528,1.1595,1.1397,0.0062307,0.0062307,0.0062307,0.57593,0.60017,0.53265,0.18308,7.0614,1.5757,1.3595
130,4.1665,1.1856,1.1538,0.0061803,0.0061803,0.0061803,0.65758,0.53488,0.51309,0.17018,6.3749,1.4684,1.2738
131,3.8472,1.1681,1.0976,0.0061298,0.0061298,0.0061298,0.85503,0.62791,0.71198,0.24547,6.1281,1.3169,1.2484
132,3.8568,1.2341,1.1292,0.0060792,0.0060792,0.0060792,0.87412,0.53488,0.61172,0.21418,6.4726,1.5474,1.3072
133,3.7362,1.1557,1.1065,0.0060284,0.0060284,0.0060284,0.75249,0.72093,0.72648,0.2823,6.0657,1.376,1.2416
134,3.9978,1.1708,1.1078,0.0059775,0.0059775,0.0059775,0.90348,0.60465,0.74119,0.2438,6.6606,1.3697,1.3595
135,4.2457,1.1653,1.1618,0.0059266,0.0059266,0.0059266,0.89072,0.56886,0.72407,0.26147,5.91,1.4046,1.2643
136,3.7267,1.1667,1.1104,0.0058755,0.0058755,0.0058755,0.79032,0.67442,0.73477,0.24374,6.1676,1.2968,1.268
137,3.7247,1.1356,1.0886,0.0058244,0.0058244,0.0058244,0.72492,0.67442,0.67898,0.24744,5.9904,1.3324,1.2254
138,3.6469,1.174,1.1124,0.0057731,0.0057731,0.0057731,0.76495,0.52991,0.58369,0.19303,6.9373,1.4558,1.3403
139,3.63,1.0986,1.1211,0.0057218,0.0057218,0.0057218,0.85782,0.60465,0.65246,0.20714,6.6046,1.5095,1.3028
140,3.7869,1.053,1.0989,0.0056704,0.0056704,0.0056704,0.89046,0.65116,0.71741,0.27288,6.1397,1.3445,1.2599
141,3.6572,1.1573,1.095,0.0056189,0.0056189,0.0056189,0.87597,0.67442,0.73163,0.3067,5.7912,1.2716,1.2307
142,3.633,1.0566,1.1018,0.0055674,0.0055674,0.0055674,0.82758,0.55813,0.59379,0.23613,6.0469,1.4746,1.2966
143,3.6205,1.0982,1.0717,0.0055158,0.0055158,0.0055158,0.77147,0.65116,0.71515,0.22143,6.3441,1.4412,1.3194
144,3.7677,1.0868,1.1124,0.0054642,0.0054642,0.0054642,0.8632,0.62791,0.70714,0.30042,5.7935,1.272,1.2507
145,3.4992,1.137,1.0727,0.0054125,0.0054125,0.0054125,0.87941,0.60465,0.71034,0.27865,5.9871,1.3629,1.2941
146,3.3399,1.0543,1.0575,0.0053608,0.0053608,0.0053608,0.88439,0.71178,0.78806,0.30616,5.754,1.4628,1.2151
147,3.5312,1.0965,1.1198,0.0053091,0.0053091,0.0053091,0.86782,0.62791,0.7222,0.27053,5.9359,1.551,1.2078
148,3.7297,1.1372,1.0746,0.0052573,0.0052573,0.0052573,0.80696,0.60465,0.71625,0.30786,5.6445,1.2441,1.2044
149,3.6789,1.1154,1.116,0.0052055,0.0052055,0.0052055,0.82865,0.5814,0.68897,0.29858,5.7098,1.4606,1.2183
150,3.5371,1.0753,1.078,0.0051537,0.0051537,0.0051537,0.76382,0.76744,0.73479,0.2798,6.1019,1.189,1.2718
151,3.445,1.0809,1.0885,0.0051018,0.0051018,0.0051018,0.78838,0.69767,0.69153,0.2662,6.1802,1.2615,1.2798
152,3.575,1.0541,1.0916,0.00505,0.00505,0.00505,0.87371,0.65116,0.75649,0.28597,5.9448,1.215,1.256
